Label,ROC_AUC,PR_AUC,Best_F1,Best_Threshold
Pleural Effusion,0.8886219270747401,0.7695847080957504,0.7292889708656481,0.37041706
Edema,0.8760880017869921,0.5989861841469084,0.5963302702874601,0.2926565
No Finding,0.8406373210209587,0.5448593389939097,0.5799999952205,0.25783223
Pneumothorax,0.8302147859590864,0.3971533332419418,0.39412997425101853,0.32131982
Support Devices,0.8225538151439193,0.6977881092334265,0.6908163215924668,0.25801772
Cardiomegaly,0.8126385584185689,0.5847219476719596,0.5972222174288419,0.20368262
Consolidation,0.7821699653619912,0.2736460425850159,0.3192660504296945,0.16589586
Atelectasis,0.7805197458146467,0.5475163072997791,0.5831435032452419,0.2112773
Pleural Other,0.7485876854297907,0.2061335673791733,0.28742514479543907,0.19039713
Lung Lesion,0.7373330894457654,0.24389287851679536,0.3052391753996711,0.1146763
Enlarged Cardiomediastinum,0.7009278415942122,0.21838003359242447,0.2587209264393338,0.09915107
Lung Opacity,0.6995487248743419,0.404573534967119,0.46310160006105416,0.16256791
Fracture,0.6891828492167101,0.12416204513294084,0.1982507241846511,0.16468027
Pneumonia,0.6773676354619981,0.25556054095043085,0.3056849912551148,0.15898064
