Label,ROC_AUC,PR_AUC,Best_F1,Best_Threshold
Pleural Effusion,0.8786353165890373,0.76067997004448,0.7164002318839453,0.30370152
Edema,0.8613756052867707,0.5390610584991843,0.5720720671487959,0.42171293
No Finding,0.8265697413017915,0.5498051724793216,0.562977094282166,0.38396174
Support Devices,0.817044384803659,0.6928829512406275,0.6823642430903988,0.19685093
Cardiomegaly,0.805056306256594,0.565315201944993,0.5838587593953,0.32415658
Pneumothorax,0.7961839481732195,0.30269812726866047,0.38043477761238775,0.3217327
Atelectasis,0.7811571587319213,0.5517106731895797,0.5908071701892822,0.18758193
Pleural Other,0.7647542279121227,0.1859275829448291,0.2512562764172623,0.19278863
Consolidation,0.7588912193444513,0.22799275093213361,0.2925457062611445,0.12475641
Lung Lesion,0.7413629504298519,0.20199073814500101,0.27408993133977416,0.10980066
Enlarged Cardiomediastinum,0.7087313574919083,0.1943104081046566,0.24188790060998436,0.1661891
Lung Opacity,0.6962656864470049,0.3890046811332933,0.45748765342961845,0.20061867
Pneumonia,0.6913792228833895,0.23648868682445576,0.3312883392509023,0.12848844
Fracture,0.6662757016971279,0.11089143757191956,0.16118420720221616,0.086653955
