Label,ROC_AUC,PR_AUC,Best_F1,Best_Threshold
Edema,0.8982335785399417,0.6474738372221621,0.6382978673727289,0.40632907
Pleural Effusion,0.8958132384856523,0.7838420352635362,0.7331002281736951,0.23320216
Support Devices,0.8759735824956346,0.7719993143309186,0.7628635296789247,0.3299644
No Finding,0.8492469046136819,0.580460354211615,0.5909494183736927,0.27006036
Pneumothorax,0.841194154113242,0.43479145037547584,0.45892350777295376,0.3318057
Cardiomegaly,0.8222452754393478,0.601505861582992,0.6115155477499441,0.33664027
Atelectasis,0.8037666695768408,0.5853219674274531,0.609107032464185,0.29993573
Consolidation,0.7975874091634727,0.27284185367690045,0.331569660368473,0.14440125
Pleural Other,0.7832464042990358,0.25419517045204887,0.3708609224858559,0.38077557
Lung Lesion,0.7653963554051583,0.2552737167101897,0.31622176158924653,0.11378167
Fracture,0.7422044984769365,0.22117524009652542,0.2918149416587937,0.1678934
Lung Opacity,0.7237387835068213,0.4293216668931451,0.4818049442115372,0.16627783
Enlarged Cardiomediastinum,0.7207006409849591,0.23879704995097212,0.26999999507812505,0.25939658
Pneumonia,0.702364061469595,0.27911840270959504,0.34178610357029554,0.117672026
