Label,ROC_AUC,PR_AUC,Best_F1,Best_Threshold
Edema,0.8974776405142397,0.6178534685088245,0.6163934377350414,0.25890243
Pleural Effusion,0.8917955909788939,0.781531424170385,0.7282184605415644,0.3858834
Support Devices,0.8691861001694472,0.7669976549170907,0.7583518881002885,0.33903563
Pneumothorax,0.8558668189870692,0.45344645437567577,0.49363867185206767,0.2762623
No Finding,0.8431923116829217,0.5667583009358417,0.6134969276583958,0.2753858
Cardiomegaly,0.8206927148400425,0.5871868949184613,0.6098901049788769,0.33195662
Pleural Other,0.8073381652329021,0.2923623350183369,0.3454545405475207,0.17104526
Consolidation,0.8028389047921607,0.24807315353539658,0.3317307656164768,0.10708048
Atelectasis,0.8021010892810372,0.5846656463478287,0.6036655164537172,0.24788018
Lung Lesion,0.7597488339125663,0.23792183096204855,0.28787878312570153,0.13392198
Enlarged Cardiomediastinum,0.7368686932791775,0.2254524466334004,0.2838427900378521,0.15531273
Lung Opacity,0.7274859362888921,0.4272786245172491,0.4832291030867647,0.20204635
Fracture,0.7100535791993037,0.14917360441592759,0.19954648114067705,0.111434944
Pneumonia,0.7058581194189996,0.2719756162675522,0.34600261642265395,0.22325528
