Label,ROC_AUC,PR_AUC,Best_F1,Best_Threshold
Pleural Effusion,0.8988964755752414,0.7879117853682093,0.7463768066341397,0.25092322
Edema,0.8981666925376676,0.649081937053305,0.6248624813524697,0.21969834
Support Devices,0.8873357673664819,0.7773435519027072,0.7783725860291728,0.2582311
Pneumothorax,0.867594780424463,0.49786220879454063,0.5084745712941684,0.3693225
No Finding,0.8497862194784533,0.5823949561747804,0.5999999950135201,0.33981588
Pleural Other,0.8312718733771366,0.29461213730713504,0.32989690221862056,0.22737801
Cardiomegaly,0.8201872607922165,0.604860276820853,0.6134020570302453,0.27356517
Atelectasis,0.8073970412852008,0.5909240818487808,0.6096009206357443,0.2718535
Consolidation,0.7894596607251436,0.24059151850481011,0.3308714877496297,0.117342144
Lung Lesion,0.7775716800804828,0.2844863956485101,0.3167848653459193,0.15742803
Enlarged Cardiomediastinum,0.7408339150853588,0.2676142512460191,0.3096234263208803,0.11181107
Fracture,0.7341948161444735,0.17101275806821584,0.26126125637854075,0.2834632
Lung Opacity,0.7284959556428412,0.4285518018323657,0.48654708087374204,0.19071174
Pneumonia,0.7262829095526285,0.2927421525721337,0.36277973625469445,0.14862634
