Label,ROC_AUC,PR_AUC,Best_F1,Best_Threshold
Edema,0.8907701102861837,0.6261865727873821,0.6094240789413887,0.35466495
Pleural Effusion,0.8886520693462617,0.7816847986002076,0.7323600923578182,0.21009152
Support Devices,0.872471675754298,0.7875280858479251,0.7472884982690946,0.19633639
No Finding,0.8404265667150862,0.5802658914187326,0.5978260820563565,0.30057654
Pneumothorax,0.8386255212361605,0.4329829156335157,0.47142856647857145,0.12887287
Cardiomegaly,0.8067699941287871,0.5794805793185508,0.5985401411175542,0.31653374
Atelectasis,0.7980664011344595,0.5886308497787744,0.6082352893344568,0.21456133
Consolidation,0.7753334563085129,0.3229251202871994,0.34554973322482946,0.29378787
Fracture,0.7568367874238469,0.1782267501082384,0.22513088559633787,0.12098466
Pleural Other,0.7513287723814039,0.26020938756817785,0.3184713328005193,0.3037744
Lung Lesion,0.7512889839034205,0.23507029585217362,0.2738095188442461,0.19654511
Pneumonia,0.7187875173127266,0.3166772666950615,0.36175710115681486,0.22332771
Lung Opacity,0.706874693879492,0.426310831873735,0.47368420580838727,0.22937939
Enlarged Cardiomediastinum,0.6928653931585962,0.2119741679277406,0.27154046501100976,0.20345876
